ID,Category,course title,Credit hours,course ID,class code
179,Humanities,HNRS 2030 Humanities Colloquium (3),3,HNRS,2030
180,Humanities,HNRS 2100 The Great Conversations (3),3,HNRS,2100
181,Humanities,HNRS 2402 Classical Civilization in the Mediterranean World (3),3,HNRS,2402
182,Humanities,HNRS 2404 Medieval Civilization in Western Europe (3),3,HNRS,2404
183,Humanities,HNRS 2406 European Civilization from 1400 to 1789 (3),3,HNRS,2406
184,Humanities,HNRS 2408 Modern Europe (3),3,HNRS,2408
185,Humanities,ITAL 1001 Elementary Italian (4),4,ITAL,1001
186,Humanities,ITAL 1002 Elementary Italian (4),4,ITAL,1002
187,Humanities,ITAL 2101 Intermediate Italian (3),3,ITAL,2101
188,Humanities,ITAL 2102 Intermediate Italian (3),3,ITAL,2102
189,Humanities,ITAL 2155 Readings in Italian Literature (3),3,ITAL,2155
190,Humanities,LA 1203 Views of the American Landscape (3),3,LA,1203
191,Humanities,LATN 1001 Elementary Latin (4),4,LATN,1001
192,Humanities,LATN 2051 Intermediate Latin (4),4,LATN,2051
193,Humanities,LATN 2053 Intermediate Latin (3),3,LATN,2053
194,Humanities,LATN 2065 Golden Age Narrative Poetry (3),3,LATN,2065
195,Humanities,LATN 2066 Golden Age Prose (3),3,LATN,2066
196,Humanities,PHIL 1000 Introduction to Philosophy (3),3,PHIL,1000
197,Humanities,PHIL 2020 Ethics (3),3,PHIL,2020
198,Humanities,REL 1000 Religions of the World (3),3,REL,1000
199,Humanities,REL 1005 New Testament (3),3,REL,1005
200,Humanities,REL 2000 Introduction to the Study of Religion (3),3,REL,2000
201,Humanities,REL 2001 Faith and Doubt (3),3,REL,2001
202,Humanities,REL 2027 Asian Religions (3),3,REL,2027
203,Humanities,"REL 2029 Judaism, Christianity and Islam (3)",3,REL,2029
204,Humanities,REL 2033 American Religions (3),3,REL,2033
205,Humanities,SW 2500 Introduction to LGBTQ+ Studies (3),3,SW,2500
206,Humanities,SPAN 1101 Elementary Spanish (4),4,SPAN,1101
207,Humanities,SPAN 1102 Elementary Spanish (4),4,SPAN,1102
208,Humanities,SPAN 1152 Intensive Beginning Spanish (4),4,SPAN,1152
209,Humanities,SPAN 2101 Intermediate Spanish (3),3,SPAN,2101
210,Humanities,SPAN 2102 Intermediate Spanish (3),3,SPAN,2102
211,Humanities,TAM 2080 Queer Fashion (3),3,TAM,2080
212,Humanities,"WGS 2500 Introduction to Women’s, Gender, and Sexuality Studies (3)",3,WGS,2500
213,Humanities,"WGS 2501 HONORS: Introduction to Women’s, Gender, and Sexuality Studies (3)",3,WGS,2501
214,,,,,
215,,,,,
216,,,,,
217,Fine,ARCH 2401 Appreciation of Architecture (3),3,ARCH,2401
218,Fine,ART 1001 Introduction to Fine Arts (3),3,ART,1001
219,Fine,ARTH 1440 Historical Survey of the Arts (3),3,ARTH,1440
220,Fine,ARTH 1441 Historical Survey of the Arts (3),3,ARTH,1441
221,Fine,ARTH 2402 Classical Art and Archaeology (3),3,ARTH,2402
222,Fine,ARTH 2470 Survey of Modern to Contemporary Art (3),3,ARTH,2470
223,Fine,HNRS 2021 Colloquium in the Arts (3),3,HNRS,2021
224,Fine,ID 1051 Introduction to Interior Design (3),3,ID,1051
225,Fine,LA 1201 Introduction to Landscape Architecture (3),3,LA,1201
226,Fine,MUS 1400 Louisiana Music (3),3,MUS,1400
227,Fine,MUS 1600 American Popular Music (3),3,MUS,1600
228,Fine,MUS 1751 Music Appreciation (3),3,MUS,1751
229,Fine,MUS 1799 Rudiments of Music (3),3,MUS,1799
230,Fine,THTR 1020 Introduction to Theatre (3),3,THTR,1020
231,Fine,THTR 1800 Introduction to Dance (3),3,THTR,1800
232,Fine,THTR 2022 Introduction to Theatrical Design (3),3,THTR,2022
233,,,,,
234,,,,,
235,,,,,
236,Mathematical/Analytical,CSC 1240 Statistics and Graphics with MATLAB (3),3,CSC,1240
237,Mathematical/Analytical,EXST 2201 Introduction to Statistical Analysis (4),4,EXST,2201
238,Mathematical/Analytical,MATH 1021 College Algebra (3),3,MATH,1021
239,Mathematical/Analytical,MATH 1022 Plane Trigonometry (3),3,MATH,1022
240,Mathematical/Analytical,MATH 1029 Introduction to Contemporary Mathematics (3),3,MATH,1029
241,Mathematical/Analytical,MATH 1100 The Nature of Mathematics (3),3,MATH,1100
242,Mathematical/Analytical,MATH 1431 Calculus with Business and Economic Applications (3),3,MATH,1431
243,Mathematical/Analytical,"MATH 1510 Biomathematics: Calculus, Probability, and Statistics I (5)",5,MATH,1510
244,Mathematical/Analytical,"MATH 1520 Biomathematics: Calculus, Probability, and Statistics II (4)",4,MATH,1520
245,Mathematical/Analytical,MATH 1530 Differential Calculus (3),3,MATH,1530
246,Mathematical/Analytical,MATH 1540 Integral Calculus (3),3,MATH,1540
247,Mathematical/Analytical,MATH 1550 Differential and Integral Calculus (5),5,MATH,1550
248,Mathematical/Analytical,MATH 1551 HONORS: Differential and Integral Calculus (5),5,MATH,1551
249,Mathematical/Analytical,MATH 1552 Analytic Geometry and Calculus II (4),4,MATH,1552
250,Mathematical/Analytical,MATH 1553 HONORS: Analytic Geometry and Calculus II (4),4,MATH,1553
251,Mathematical/Analytical,PHIL 1021 Introduction to Logic (3),3,PHIL,1021
252,,,,,
253,,,,,
254,,,,,
255,Natural,ASTR 1101 The Solar System (3),3,ASTR,1101
256,Natural,ASTR 1102 Stellar Astronomy (3),3,ASTR,1102
257,Natural,BIOL 1001 General Biology (3),3,BIOL,1001
258,Natural,BIOL 1002 General Biology (3),3,BIOL,1002
259,Natural,BIOL 1201 Biology for Science Majors I (3),3,BIOL,1201
260,Natural,BIOL 1202 Biology for Science Majors II (3),3,BIOL,1202
261,Natural,BIOL 1503 Honors: Biology for Science Majors II (4),4,BIOL,1503
262,Natural,CHEM 1001 Chemical Fundamentals (3),3,CHEM,1001
263,Natural,CHEM 1002 Chemistry of Life and the Environment (3),3,CHEM,1002
264,Natural,CHEM 1201 General Chemistry I (3),3,CHEM,1201
265,Natural,CHEM 1421 HONORS: General Chemistry I (3),3,CHEM,1421
266,Natural,CHEM 1202 General Chemistry II (3),3,CHEM,1202
267,Natural,CHEM 1422 HONORS: General Chemistry II (3),3,CHEM,1422
268,Natural,ENVS 1126 Introduction to Environmental Sciences (3),3,ENVS,1126
269,Natural,ENVS 1127 HONORS: Introduction to Environmental Sciences (3),3,ENVS,1127
270,Natural,ENVS 2126 Environmental and Anthropogenic Impacts of Microbes (3),3,ENVS,2126
271,Natural,ENVS 2127 Honors Environmental & Anthropogenic Impacts of Microbes (3),3,ENVS,2127
272,Natural,GEOG 2050 Physical Geography: The Atmosphere (3),3,GEOG,2050
273,Natural,"GEOG 2051 Physical Geography: Land and Water Surfaces, Plant and Animal Realms (3)",3,GEOG,2051
274,Natural,GEOL 1001 General Geology: Physical (3),3,GEOL,1001
275,Natural,GEOL 1002 HONORS: General Geology: Physical (3),3,GEOL,1002
276,Natural,GEOL 1003 General Geology: Historical (3),3,GEOL,1003
277,Natural,GEOL 1201 Principles of Geology I (4),4,GEOL,1201
278,Natural,GEOL 1202 Principles of Geology II (4),4,GEOL,1202
279,Natural,GEOL 2020 Geology and the Environment (3),3,GEOL,2020
280,Natural,HORT 2050 General Horticulture (3),3,HORT,2050
281,Natural,HORT 2061 Plant Propagation (3),3,HORT,2061
282,Natural,OCS 1005 Introduction to Oceanography (3),3,OCS,1005
283,Natural,OCS 1006 HONORS: Introduction to Oceanography (3),3,OCS,1006
284,Natural,OCS 2005 Gulf of Mexico (3),3,OCS,2005
285,Natural,OCS 2006 HONORS: Gulf of Mexico (3),3,OCS,2006
286,Natural,PHSC 1001 Physical Science (3),3,PHSC,1001
287,Natural,PHSC 1002 Physical Science (3),3,PHSC,1002
288,Natural,PHYS 1201 General Physics for Physics Majors (4),4,PHYS,1201
289,Natural,PHYS 1202 General Physics for Physics Majors (4),4,PHYS,1202
290,Natural,PHYS 2001 General Physics I (3),3,PHYS,2001
291,Natural,PHYS 2002 General Physics II (3),3,PHYS,2002
292,Natural,PHYS 2110 Particle Mechanics (3),3,PHYS,2110
293,Natural,"PHYS 2112 Fluids, Thermodynamics, Waves, and Modern Physics (3)",3,PHYS,2112
294,Natural,"PHYS 2113 Fields: Gravity, Electricity, and Magnetism (3)",3,PHYS,2113
295,Natural,PHYS 2150 HONORS Particle Mechanics (3),3,PHYS,2150
296,Natural,"PHYS 2153 Honors Fields: Gravitation, Electric, Magnetic (3)",3,PHYS,2153
297,Natural,AGRI 1005 Science and Society (3),3,AGRI,1005
298,Natural,AGRO 1001 Plants and People (3),3,AGRO,1001
299,Natural,BIOL 1011 Microorganisms and Man (3),3,BIOL,1011
300,Natural,CM 1070 Introduction to Sustainability in the Built Environment (3),3,CM,1070
301,Natural,HNRS 1035 Life Science Seminar (3),3,HNRS,1035
302,Natural,HNRS 1036 Physical Science Seminar (3),3,HNRS,1036
303,Natural,HNRS 2010 Science for Citizens (3),3,HNRS,2010
304,Natural,MEDP 2051 Radiation Science with Applications (3),3,MEDP,2051
305,Natural,OCS 2050 Coastal Systems Ecology and Ecosystem Design (3),3,OCS,2050
306,Natural,OCS 2100 Global Change and the Oceans (3),3,OCS,2100
307,Natural,PHYS 2401 Introduction to Concepts in Physics (3),3,PHYS,2401
308,Natural,RNR 1001 Natural Resource Conservation (3),3,RNR,1001
