id,Category,course title,Credit hours,course ID,class code
176,Humanities,CHIN 2070 Chinese Cinema (3),3,CHIN,2070
177,Humanities,CLST 2101 Ancient Greek Civilization (3),3,CLST,2101
178,Humanities,CLST 2102 Ancient Roman Civilization (3),3,CLST,2102
179,Humanities,CMST 1061 Fundamentals of Communication (3),3,CMST,1061
180,Humanities,CMST 2012 Introduction to Film (4),4,CMST,2012
181,Humanities,CMST 2040 Introduction to Performing Literature (3),3,CMST,2040
182,Humanities,CMST 2060 Public Speaking (3),3,CMST,2060
183,Humanities,CMST 2063 Argumentation and Debate (3),3,CMST,2063
184,Humanities,CPLT 2201 Introduction to World Literary Traditions (3),3,CPLT,2201
185,Humanities,CPLT 2202 Introduction to Modern World Literature (3),3,CPLT,2202
186,Humanities,ENGL 2024 Critical Strategies (3),3,ENGL,2024
187,Humanities,ENGL 2025 Fiction (3),3,ENGL,2025
188,Humanities,ENGL 2027 Poetry (3),3,ENGL,2027
189,Humanities,ENGL 2029 Drama (3),3,ENGL,2029
190,Humanities,ENGL 2123 Studies in Literary Traditions and Themes (3),3,ENGL,2123
191,Humanities,ENGL 2148 Shakespeare (3),3,ENGL,2148
192,Humanities,ENGL 2201 Introduction to World Literary Traditions (3),3,ENGL,2201
193,Humanities,ENGL 2202 Introduction to Modern World Literature (3),3,ENGL,2202
194,Humanities,ENGL 2220 Major British Authors (3),3,ENGL,2220
195,Humanities,ENGL 2231 Reading Film (3),3,ENGL,2231
196,Humanities,ENGL 2270 Major American Authors (3),3,ENGL,2270
197,Humanities,ENGL 2300 Interpreting Discourse (3),3,ENGL,2300
198,Humanities,ENGL 2593 Gender and Literature (3),3,ENGL,2593
199,Humanities,ENGL 2673 Literature and Ethnicity (3),3,ENGL,2673
200,Humanities,ENGL 2674 Introduction to African-American Literature (3),3,ENGL,2674
201,Humanities,ENGL 2823 HONORS: Studies in Literary Traditions and Themes (3),3,ENGL,2823
202,Humanities,ENGL 2824 HONORS: Critical Analysis of Literature (3),3,ENGL,2824
203,Humanities,FREN 1001 Elementary French (4),4,FREN,1001
204,Humanities,FREN 1002 Elementary French (4),4,FREN,1002
205,Humanities,FREN 1201 Elementary Cajun French (4),4,FREN,1201
206,Humanities,FREN 1202 Elementary Cajun French (4),4,FREN,1202
207,Humanities,FREN 2101 Intermediate French (3),3,FREN,2101
208,Humanities,FREN 2102 Intermediate French (3),3,FREN,2102
209,Humanities,FREN 2155 Readings in French Literature (3),3,FREN,2155
210,Humanities,FREN 2201 Intermediate Cajun French (3),3,FREN,2201
211,Humanities,FREN 2202 Intermediate Cajun French (3),3,FREN,2202
212,Humanities,GERM 1101 Elementary German (4),4,GERM,1101
213,Humanities,GERM 1102 Elementary German (4),4,GERM,1102
214,Humanities,GERM 2075 German Civilization (3),3,GERM,2075
215,Humanities,GERM 2101 Intermediate German (3),3,GERM,2101
216,Humanities,GERM 2102 Intermediate German (3),3,GERM,2102
217,Humanities,GREK 1001 Elementary Greek (4),4,GREK,1001
218,Humanities,GREK 2051 Intermediate Greek (4),4,GREK,2051
219,Humanities,GREK 2103 Intermediate Greek Prose (3),3,GREK,2103
220,Humanities,GREK 2104 Intermediate Greek 2 (3),3,GREK,2104
221,Humanities,HEBR 1001 Beginning Hebrew (4),4,HEBR,1001
222,Humanities,HEBR 1002 Beginning Hebrew (4),4,HEBR,1002
223,Humanities,HEBR 2003 Intermediate Hebrew (4),4,HEBR,2003
224,Humanities,HEBR 2004 Intermediate Hebrew (4),4,HEBR,2004
225,Humanities,HIST 1001 Western Civilization to 1500 (3),3,HIST,1001
226,Humanities,HIST 1002 HONORS: Western Civilization to 1500 (3),3,HIST,1002
227,Humanities,HIST 1003 Western Civilization Since 1500 (3),3,HIST,1003
228,Humanities,HIST 1004 HONORS: Western Civilization Since 1500 (3),3,HIST,1004
229,Humanities,HIST 1005 World History to 1500 (3),3,HIST,1005
230,Humanities,HIST 1007 World History Since 1500 (3),3,HIST,1007
231,Humanities,HIST 2014 Goddesses to Witches: Women in Europe 500 BCE -1700 CE (3),3,HIST,2014
232,Humanities,HIST 2020 Medieval Europe (3),3,HIST,2020
233,Humanities,HIST 2022 Modern Europe (3),3,HIST,2022
234,Humanities,HIST 2023 The World Since 1960 (3),3,HIST,2023
235,Humanities,HIST 2055 The United States to 1865 (3),3,HIST,2055
236,Humanities,HIST 2056 HONORS: The United States to 1865 (3),3,HIST,2056
237,Humanities,HIST 2057 The United States from 1865 to the Present (3),3,HIST,2057
238,Humanities,HIST 2058 HONORS: The United States from 1865 to the Present (3),3,HIST,2058
239,Humanities,HIST 2061 African American History (3),3,HIST,2061
240,Humanities,HIST 2065 History of Popular Culture in the United States (3),3,HIST,2065
